Candidate_ID,Churn,Suggested_Churn_Reason,All_Call_Remarks,Feedback
C0001,1,"('Financial issues', 'Offer flexible payment plans, scholarships, or budget-friendly EMI options and follow up on affordability concerns.')",Intro call candidate interested Follow up payment query answered No confirmation about joining,Neutral
C0001,1,"('Financial issues', 'Offer flexible payment plans, scholarships, or budget-friendly EMI options and follow up on affordability concerns.')",Intro call candidate interested Follow up payment query answered No confirmation about joining,Neutral
C0001,1,"('Financial issues', 'Offer flexible payment plans, scholarships, or budget-friendly EMI options and follow up on affordability concerns.')",Intro call candidate interested Follow up payment query answered No confirmation about joining,Neutral
C0002,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",No response left voicemail Second attempt no pickup,Neutral
C0002,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",No response left voicemail Second attempt no pickup,Neutral
C0005,1,"('Financial issues', 'Offer flexible payment plans, scholarships, or budget-friendly EMI options and follow up on affordability concerns.')",Initial call about AIML course Asked about scholarship options Payment reminder and next steps,Negative
C0005,1,"('Financial issues', 'Offer flexible payment plans, scholarships, or budget-friendly EMI options and follow up on affordability concerns.')",Initial call about AIML course Asked about scholarship options Payment reminder and next steps,Negative
C0005,1,"('Financial issues', 'Offer flexible payment plans, scholarships, or budget-friendly EMI options and follow up on affordability concerns.')",Initial call about AIML course Asked about scholarship options Payment reminder and next steps,Negative
C0007,1,"('Lack of interest', 'Re-engage with personalized course benefits, clarify learning outcomes, and offer a second consultation call.')",Intro call not interested Not interested at this time Final attempt no change,Neutral
C0007,1,"('Lack of interest', 'Re-engage with personalized course benefits, clarify learning outcomes, and offer a second consultation call.')",Intro call not interested Not interested at this time Final attempt no change,Neutral
C0007,1,"('Lack of interest', 'Re-engage with personalized course benefits, clarify learning outcomes, and offer a second consultation call.')",Intro call not interested Not interested at this time Final attempt no change,Neutral
C0010,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro left voicemail Candidate asked to call after 2pm,Neutral
C0010,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro left voicemail Candidate asked to call after 2pm,Neutral
C0012,1,"('Lack of interest', 'Re-engage with personalized course benefits, clarify learning outcomes, and offer a second consultation call.')",Initial contact for UI UX Not interested any more,Negative
C0012,1,"('Lack of interest', 'Re-engage with personalized course benefits, clarify learning outcomes, and offer a second consultation call.')",Initial contact for UI UX Not interested any more,Negative
C0013,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro call no pickup Not reachable call dropped,Negative
C0013,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro call no pickup Not reachable call dropped,Negative
C0017,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro call number switched off No response number switched off,Negative
C0017,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro call number switched off No response number switched off,Negative
C0020,1,"('Other', 'Investigate the candidate details further and provide a customized recovery plan based on the latest call context.')",Intro left brochure via email Requested brochure via email,Neutral
C0020,1,"('Other', 'Investigate the candidate details further and provide a customized recovery plan based on the latest call context.')",Intro left brochure via email Requested brochure via email,Neutral
C0024,1,"('Lack of interest', 'Re-engage with personalized course benefits, clarify learning outcomes, and offer a second consultation call.')",Intro call conflict with schedule Not interested due to schedule,Negative
C0024,1,"('Lack of interest', 'Re-engage with personalized course benefits, clarify learning outcomes, and offer a second consultation call.')",Intro call conflict with schedule Not interested due to schedule,Negative
C0028,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro left voicemail Left voicemail no response,Neutral
C0028,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro left voicemail Left voicemail no response,Neutral
C0033,1,"('Joined another institution', 'Reach out with retention incentives, compare program strengths, and propose a unique value-added offer.')",Intro data science syllabus Chances of joining another instituition,Positive
C0033,1,"('Joined another institution', 'Reach out with retention incentives, compare program strengths, and propose a unique value-added offer.')",Intro data science syllabus Chances of joining another instituition,Positive
C0034,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro call no answer No response call not answered,Negative
C0034,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro call no answer No response call not answered,Negative
C0043,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro unreachable Candidate unreachable final,Neutral
C0043,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro unreachable Candidate unreachable final,Neutral
C0045,1,"('Financial issues', 'Offer flexible payment plans, scholarships, or budget-friendly EMI options and follow up on affordability concerns.')",Intro portfolio review Discussed about fees payment,Positive
C0045,1,"('Financial issues', 'Offer flexible payment plans, scholarships, or budget-friendly EMI options and follow up on affordability concerns.')",Intro portfolio review Discussed about fees payment,Positive
C0049,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro left SMS No response left SMS,Negative
C0049,1,"('Communication gaps', 'Increase outreach frequency, confirm contact details, and assign a dedicated counselor for follow-up.')",Intro left SMS No response left SMS,Negative
